timestamp,idk,cumsum,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 03:44:23 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:45:23 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:46:24 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:47:25 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:48:25 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:49:26 2021,0,1443,0,6,3630,0,7,375,0,10.3226,0
Fri Aug 13 03:50:26 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:51:27 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:52:27 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:53:28 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:54:29 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:55:29 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:56:30 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:57:30 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:58:31 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:59:31 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:00:32 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:01:33 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:02:33 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:03:34 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:04:34 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:05:35 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:06:35 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:07:36 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:08:37 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:09:37 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:10:38 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:11:38 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:12:39 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:13:40 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:14:40 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:15:41 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:16:41 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:17:42 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:18:42 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:19:43 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:20:44 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:21:44 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:22:45 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:23:45 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:24:46 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:25:47 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:26:47 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:27:48 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:28:48 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:29:49 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:30:49 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:31:50 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:32:50 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:33:51 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:34:52 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:35:52 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:36:53 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:37:53 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:38:54 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:39:54 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:40:55 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:41:56 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:42:56 2021,0,1443,0,6,3630,0,7,375,0,10.3226,0
Fri Aug 13 04:43:57 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:44:57 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:45:58 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:46:59 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:47:59 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:49:00 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:50:00 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:51:01 2021,0,1443,0,6,3630,0,7,450,0,0,0
Fri Aug 13 04:52:01 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:53:02 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:54:03 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 04:55:03 2021,0,1443,0,6,3630,0,7,375,0,0,0
